date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:48	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Jun%202022%2006:06:53%20GMT	http://trump-tower.in/robots.txt		(from )
11:36:50	35994/35994	---M-Z	200	added ('OK')	text/html	etag:%228a79ceb6f56fd81:0%22	http://trump-tower.in/?gclid=EAIaIQobChMI9cuBue-q-AIVSplmAh3IEgiyEAAYASAAEgJRRvD_BwE	C:/Users/91981/Downloads/Copy/trump-tower.in/index64df.html	(from )
11:36:51	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%224a142b6b5c4ad81:0%22	http://trump-tower.in/favicon.ico	C:/Users/91981/Downloads/Copy/trump-tower.in/favicon.ico	(from http://trump-tower.in/?gclid=EAIaIQobChMI9cuBue-q-AIVSplmAh3IEgiyEAAYASAAEgJRRvD_BwE)
11:36:54	7300/7300	---M-Z	200	added ('OK')	text/css	etag:%22b6accfbbf56fd81:0%22	http://trump-tower.in/css/magnific-popup.css	C:/Users/91981/Downloads/Copy/trump-tower.in/css/magnific-popup.css	(from http://trump-tower.in/?gclid=EAIaIQobChMI9cuBue-q-AIVSplmAh3IEgiyEAAYASAAEgJRRvD_BwE)
11:36:56	26040/26040	---M-Z	200	added ('OK')	text/css	etag:%227e549abcf56fd81:0%22	http://trump-tower.in/css/style.css	C:/Users/91981/Downloads/Copy/trump-tower.in/css/style.css	(from http://trump-tower.in/?gclid=EAIaIQobChMI9cuBue-q-AIVSplmAh3IEgiyEAAYASAAEgJRRvD_BwE)
11:36:59	162017/162017	---MCZ	200	added ('OK')	text/css	etag:%22fd1441bcf56fd81:0%22	http://trump-tower.in/css/bootstrap.min.css	C:/Users/91981/Downloads/Copy/trump-tower.in/css/bootstrap.min.css	(from http://trump-tower.in/?gclid=EAIaIQobChMI9cuBue-q-AIVSplmAh3IEgiyEAAYASAAEgJRRvD_BwE)
11:36:59	23704/23704	---M-Z	200	added ('OK')	text/css	etag:%223b179bbcf56fd81:0%22	http://trump-tower.in/css/responsive.css	C:/Users/91981/Downloads/Copy/trump-tower.in/css/responsive.css	(from http://trump-tower.in/?gclid=EAIaIQobChMI9cuBue-q-AIVSplmAh3IEgiyEAAYASAAEgJRRvD_BwE)
11:37:00	35994/35994	---M-Z	200	added ('OK')	text/html	etag:%228a79ceb6f56fd81:0%22	http://trump-tower.in/index.html	C:/Users/91981/Downloads/Copy/trump-tower.in/index.html	(from http://trump-tower.in/?gclid=EAIaIQobChMI9cuBue-q-AIVSplmAh3IEgiyEAAYASAAEgJRRvD_BwE)
11:37:01	5750/5750	---M--	200	added ('OK')	image/png	etag:%225d74a23bfb6cd81:0%22	http://trump-tower.in/images/logo-ncr.png	C:/Users/91981/Downloads/Copy/trump-tower.in/images/logo-ncr.png	(from http://trump-tower.in/?gclid=EAIaIQobChMI9cuBue-q-AIVSplmAh3IEgiyEAAYASAAEgJRRvD_BwE)
11:37:02	410/410	---M--	200	added ('OK')	image/png	etag:%2225bffc3afb6cd81:0%22	http://trump-tower.in/images/bars.png	C:/Users/91981/Downloads/Copy/trump-tower.in/images/bars.png	(from http://trump-tower.in/?gclid=EAIaIQobChMI9cuBue-q-AIVSplmAh3IEgiyEAAYASAAEgJRRvD_BwE)
